id,defaultOfferType,country,registeredDate
6563612899329659014,meal,fin,2015-11-24 16:33:35
8724554181611615450,meal,fin,2016-01-27 00:08:50
946161542061641905,meal,fin,2016-02-01 15:03:27
7056903344430959871,meal,fin,2016-02-02 14:56:40
3497712091356119302,meal,fin,2016-02-03 13:20:29
4251334339268196030,meal,fin,2016-02-05 08:12:19
2952826459114560520,meal,fin,2016-02-05 15:23:58
6366348868959889976,meal,fin,2016-02-17 09:57:55
3452868479470300484,meal,fin,2016-02-18 08:43:43
3004735661182219943,meal,fin,2016-02-18 19:20:30
3251367753482568255,meal,fin,2016-02-18 19:22:33
8739403635783564815,meal,fin,2016-02-22 14:08:19
2672492301413090715,meal,fin,2016-03-01 11:29:45
6413127946381468410,meal,fin,2016-03-04 10:40:33
4252439828027313267,meal,fin,2016-03-08 13:21:45
8411653274887241047,meal,fin,2016-03-09 15:26:54
6883147763864202099,meal,fin,2016-03-10 13:06:12
170246671684461009,meal,fin,2016-03-10 15:10:28
2542069933983897580,meal,fin,2016-03-15 09:57:19
8436599906626961173,meal,fin,2016-03-15 10:06:27
2514615022673433835,meal,fin,2016-03-15 11:46:51
32299645596835530,meal,fin,2016-03-17 06:43:22
2926431750941599376,meal,fin,2016-03-17 06:51:32
2983771326752312510,meal,fin,2016-03-24 12:01:41
8234739256543203109,meal,fin,2016-03-30 06:09:08
6749268891831773024,meal,fin,2016-03-30 06:27:43
3858184342673385980,meal,fin,2016-03-30 07:13:45
840639736300105898,meal,fin,2016-03-30 13:04:22
4447511155207831333,snack,fin,2016-04-05 15:45:54
6497082428763622756,snack,fin,2016-04-07 11:21:47
8794857991198243397,meal,fin,2016-04-08 11:30:57
288199580022162329,meal,fin,2016-04-12 08:46:40
1584859539848063741,snack,fin,2016-04-14 08:28:52
3627519266472542395,meal,fin,2016-04-14 10:52:30
5288487495886863226,meal,fin,2016-04-19 11:20:44
5864024109615474029,snack,fin,2016-04-20 19:27:05
